,0,1,2,3,4,5,6,7,8,9,10,11,12
23,2502,ENSG00000197879,MYO1C,Plasma membrane,CAB037023,http://images.proteinatlas.org/37023/80230_A_5_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
24,2503,ENSG00000197879,MYO1C,Plasma membrane,CAB037023,http://images.proteinatlas.org/37023/80230_A_6_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
25,2504,ENSG00000197879,MYO1C,Plasma membrane,CAB037023,http://images.proteinatlas.org/37023/80230_A_7_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
26,2505,ENSG00000197879,MYO1C,Plasma membrane,CAB037023,http://images.proteinatlas.org/37023/80230_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
27,2506,ENSG00000197879,MYO1C,Plasma membrane,CAB037023,http://images.proteinatlas.org/37023/80230_A_9_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
28,2550,ENSG00000144283,PKP4,Plasma membrane,CAB037334,http://images.proteinatlas.org/37334/80237_A_1_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
29,2551,ENSG00000144283,PKP4,Plasma membrane,CAB037334,http://images.proteinatlas.org/37334/80237_A_2_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
30,3488,ENSG00000092820,EZR,Plasma membrane,CAB047324,http://images.proteinatlas.org/47324/103923_A_1_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
31,3489,ENSG00000092820,EZR,Plasma membrane,CAB047324,http://images.proteinatlas.org/47324/103923_A_2_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
32,363,ENSG00000103496,STX4,Plasma membrane,HPA001330,http://images.proteinatlas.org/1330/3903_A_1_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
33,364,ENSG00000103496,STX4,Plasma membrane,HPA001330,http://images.proteinatlas.org/1330/3903_A_2_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
34,365,ENSG00000103496,STX4,Plasma membrane,HPA001330,http://images.proteinatlas.org/1330/3903_A_3_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
35,366,ENSG00000103496,STX4,Plasma membrane,HPA001330,http://images.proteinatlas.org/1330/3903_A_4_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
36,367,ENSG00000103496,STX4,Plasma membrane,HPA001330,http://images.proteinatlas.org/1330/3903_A_5_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
37,368,ENSG00000103496,STX4,Plasma membrane,HPA001330,http://images.proteinatlas.org/1330/3903_A_6_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
38,369,ENSG00000103496,STX4,Plasma membrane,HPA001330,http://images.proteinatlas.org/1330/3903_A_7_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
39,370,ENSG00000103496,STX4,Plasma membrane,HPA001330,http://images.proteinatlas.org/1330/3903_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
40,561,ENSG00000104067,TJP1,Plasma membrane,HPA001636,http://images.proteinatlas.org/1636/6932_A_1_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
41,562,ENSG00000104067,TJP1,Plasma membrane,HPA001636,http://images.proteinatlas.org/1636/6932_A_2_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
42,563,ENSG00000104067,TJP1,Plasma membrane,HPA001636,http://images.proteinatlas.org/1636/6932_A_3_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
43,564,ENSG00000104067,TJP1,Plasma membrane,HPA001636,http://images.proteinatlas.org/1636/6932_A_7_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
44,565,ENSG00000104067,TJP1,Plasma membrane,HPA001636,http://images.proteinatlas.org/1636/6932_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
45,709,ENSG00000197879,MYO1C,Plasma membrane,HPA001768,http://images.proteinatlas.org/1768/42132_A_1_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
46,710,ENSG00000197879,MYO1C,Plasma membrane,HPA001768,http://images.proteinatlas.org/1768/42132_A_2_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
47,711,ENSG00000197879,MYO1C,Plasma membrane,HPA001768,http://images.proteinatlas.org/1768/42132_A_3_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
48,712,ENSG00000197879,MYO1C,Plasma membrane,HPA001768,http://images.proteinatlas.org/1768/42132_A_4_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
49,713,ENSG00000197879,MYO1C,Plasma membrane,HPA001768,http://images.proteinatlas.org/1768/42132_A_5_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
50,714,ENSG00000197879,MYO1C,Plasma membrane,HPA001768,http://images.proteinatlas.org/1768/42132_A_6_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
51,715,ENSG00000197879,MYO1C,Plasma membrane,HPA001768,http://images.proteinatlas.org/1768/42132_A_7_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
52,716,ENSG00000197879,MYO1C,Plasma membrane,HPA001768,http://images.proteinatlas.org/1768/42132_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
53,717,ENSG00000197879,MYO1C,Plasma membrane,HPA001768,http://images.proteinatlas.org/1768/42132_A_9_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
54,2175,ENSG00000155380,SLC16A1,Plasma membrane,HPA003324,http://images.proteinatlas.org/3324/10595_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
55,2176,ENSG00000155380,SLC16A1,Plasma membrane,HPA003324,http://images.proteinatlas.org/3324/10595_A_9_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
56,4222,ENSG00000127831,VIL1,Plasma membrane,HPA006884,http://images.proteinatlas.org/6884/19278_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
57,4223,ENSG00000127831,VIL1,Plasma membrane,HPA006884,http://images.proteinatlas.org/6884/19278_A_9_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
58,4224,ENSG00000127831,VIL1,Plasma membrane,HPA006885,http://images.proteinatlas.org/6885/19282_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
59,4225,ENSG00000127831,VIL1,Plasma membrane,HPA006885,http://images.proteinatlas.org/6885/19282_A_9_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
60,4470,ENSG00000099992,TBC1D10A,Plasma membrane,HPA008142,http://images.proteinatlas.org/8142/22351_A_1_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
61,4471,ENSG00000099992,TBC1D10A,Plasma membrane,HPA008142,http://images.proteinatlas.org/8142/22351_A_2_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
62,4472,ENSG00000099992,TBC1D10A,Plasma membrane,HPA008142,http://images.proteinatlas.org/8142/22351_A_3_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
63,4473,ENSG00000099992,TBC1D10A,Plasma membrane,HPA008142,http://images.proteinatlas.org/8142/22351_A_4_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
64,4474,ENSG00000099992,TBC1D10A,Plasma membrane,HPA008142,http://images.proteinatlas.org/8142/22351_A_5_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
65,4475,ENSG00000099992,TBC1D10A,Plasma membrane,HPA008142,http://images.proteinatlas.org/8142/22351_A_6_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
66,4476,ENSG00000099992,TBC1D10A,Plasma membrane,HPA008142,http://images.proteinatlas.org/8142/22351_A_7_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
67,4477,ENSG00000099992,TBC1D10A,Plasma membrane,HPA008142,http://images.proteinatlas.org/8142/22351_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
68,4478,ENSG00000099992,TBC1D10A,Plasma membrane,HPA008142,http://images.proteinatlas.org/8142/22351_A_9_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
69,166,ENSG00000169851,PCDH7,Plasma membrane,HPA011866,http://images.proteinatlas.org/11866/28206_A_1_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
70,167,ENSG00000169851,PCDH7,Plasma membrane,HPA011866,http://images.proteinatlas.org/11866/28206_A_2_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
71,168,ENSG00000169851,PCDH7,Plasma membrane,HPA011866,http://images.proteinatlas.org/11866/28206_A_3_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
72,169,ENSG00000169851,PCDH7,Plasma membrane,HPA011866,http://images.proteinatlas.org/11866/28206_A_4_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
73,170,ENSG00000169851,PCDH7,Plasma membrane,HPA011866,http://images.proteinatlas.org/11866/28206_A_5_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
74,171,ENSG00000169851,PCDH7,Plasma membrane,HPA011866,http://images.proteinatlas.org/11866/28206_A_7_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
75,172,ENSG00000169851,PCDH7,Plasma membrane,HPA011866,http://images.proteinatlas.org/11866/28206_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
76,173,ENSG00000169851,PCDH7,Plasma membrane,HPA011866,http://images.proteinatlas.org/11866/28206_A_9_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
77,468,ENSG00000198561,CTNND1,Plasma membrane,HPA015954,http://images.proteinatlas.org/15954/36087_A_1_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
78,469,ENSG00000198561,CTNND1,Plasma membrane,HPA015954,http://images.proteinatlas.org/15954/36087_A_2_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
79,470,ENSG00000198561,CTNND1,Plasma membrane,HPA015954,http://images.proteinatlas.org/15954/36087_A_3_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
80,471,ENSG00000198561,CTNND1,Plasma membrane,HPA015954,http://images.proteinatlas.org/15954/36087_A_4_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
81,472,ENSG00000198561,CTNND1,Plasma membrane,HPA015954,http://images.proteinatlas.org/15954/36087_A_5_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
82,473,ENSG00000198561,CTNND1,Plasma membrane,HPA015954,http://images.proteinatlas.org/15954/36087_A_6_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
83,617,ENSG00000110218,PANX1,Plasma membrane,HPA016930,http://images.proteinatlas.org/16930/38155_A_7_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
84,618,ENSG00000110218,PANX1,Plasma membrane,HPA016930,http://images.proteinatlas.org/16930/38155_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
85,619,ENSG00000110218,PANX1,Plasma membrane,HPA016930,http://images.proteinatlas.org/16930/38155_A_9_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
86,1931,ENSG00000168036,CTNNB1,Plasma membrane,HPA029159,http://images.proteinatlas.org/29159/62947_A_1_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
87,1932,ENSG00000168036,CTNNB1,Plasma membrane,HPA029159,http://images.proteinatlas.org/29159/62947_A_2_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
88,1933,ENSG00000168036,CTNNB1,Plasma membrane,HPA029159,http://images.proteinatlas.org/29159/62947_A_3_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
89,1934,ENSG00000168036,CTNNB1,Plasma membrane,HPA029159,http://images.proteinatlas.org/29159/62947_A_4_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
90,1935,ENSG00000168036,CTNNB1,Plasma membrane,HPA029159,http://images.proteinatlas.org/29159/62947_A_5_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
91,1936,ENSG00000168036,CTNNB1,Plasma membrane,HPA029159,http://images.proteinatlas.org/29159/62947_A_6_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
92,1937,ENSG00000168036,CTNNB1,Plasma membrane,HPA029159,http://images.proteinatlas.org/29159/62947_A_7_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
93,1938,ENSG00000168036,CTNNB1,Plasma membrane,HPA029159,http://images.proteinatlas.org/29159/62947_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
94,1939,ENSG00000168036,CTNNB1,Plasma membrane,HPA029159,http://images.proteinatlas.org/29159/62947_A_9_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
95,1940,ENSG00000168036,CTNNB1,Plasma membrane,HPA029160,http://images.proteinatlas.org/29160/62939_A_1_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
96,1941,ENSG00000168036,CTNNB1,Plasma membrane,HPA029160,http://images.proteinatlas.org/29160/62939_A_2_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
97,1942,ENSG00000168036,CTNNB1,Plasma membrane,HPA029160,http://images.proteinatlas.org/29160/62939_A_3_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
98,1943,ENSG00000168036,CTNNB1,Plasma membrane,HPA029160,http://images.proteinatlas.org/29160/62939_A_4_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
99,1944,ENSG00000168036,CTNNB1,Plasma membrane,HPA029160,http://images.proteinatlas.org/29160/62939_A_5_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
100,1945,ENSG00000168036,CTNNB1,Plasma membrane,HPA029160,http://images.proteinatlas.org/29160/62939_A_6_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
101,1946,ENSG00000168036,CTNNB1,Plasma membrane,HPA029160,http://images.proteinatlas.org/29160/62939_A_7_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
102,1947,ENSG00000168036,CTNNB1,Plasma membrane,HPA029160,http://images.proteinatlas.org/29160/62939_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
103,1948,ENSG00000168036,CTNNB1,Plasma membrane,HPA029160,http://images.proteinatlas.org/29160/62939_A_9_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
104,2019,ENSG00000130396,AFDN,Plasma membrane,HPA030213,http://images.proteinatlas.org/30213/62495_A_4_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
105,2020,ENSG00000130396,AFDN,Plasma membrane,HPA030213,http://images.proteinatlas.org/30213/62495_A_5_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
106,2021,ENSG00000130396,AFDN,Plasma membrane,HPA030213,http://images.proteinatlas.org/30213/62495_A_6_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
107,2693,ENSG00000149300,C11orf52,Plasma membrane,HPA038388,http://images.proteinatlas.org/38388/78684_A_4_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
108,2694,ENSG00000149300,C11orf52,Plasma membrane,HPA038388,http://images.proteinatlas.org/38388/78684_A_5_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
109,2695,ENSG00000149300,C11orf52,Plasma membrane,HPA038388,http://images.proteinatlas.org/38388/78684_A_6_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
110,2696,ENSG00000149300,C11orf52,Plasma membrane,HPA038388,http://images.proteinatlas.org/38388/78684_A_7_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
111,2697,ENSG00000149300,C11orf52,Plasma membrane,HPA038388,http://images.proteinatlas.org/38388/78684_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
112,2698,ENSG00000149300,C11orf52,Plasma membrane,HPA038388,http://images.proteinatlas.org/38388/78684_A_9_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
113,3374,ENSG00000044115,CTNNA1,Plasma membrane,HPA046119,http://images.proteinatlas.org/46119/124809_A_1_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
114,3375,ENSG00000044115,CTNNA1,Plasma membrane,HPA046119,http://images.proteinatlas.org/46119/124809_A_2_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
115,3376,ENSG00000044115,CTNNA1,Plasma membrane,HPA046119,http://images.proteinatlas.org/46119/124809_A_3_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
116,3377,ENSG00000044115,CTNNA1,Plasma membrane,HPA046119,http://images.proteinatlas.org/46119/124809_A_5_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
117,3378,ENSG00000044115,CTNNA1,Plasma membrane,HPA046119,http://images.proteinatlas.org/46119/124809_A_6_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
118,3379,ENSG00000044115,CTNNA1,Plasma membrane,HPA046119,http://images.proteinatlas.org/46119/124809_A_7_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
119,3380,ENSG00000044115,CTNNA1,Plasma membrane,HPA046119,http://images.proteinatlas.org/46119/124809_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
120,3381,ENSG00000044115,CTNNA1,Plasma membrane,HPA046119,http://images.proteinatlas.org/46119/124809_A_9_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
121,132,ENSG00000173473,SMARCC1,Nucleus,CAB011576,http://images.proteinatlas.org/11576/32502_A_1_1.jpg,Stomach 2,nuclear,0,0,0,1,0
122,133,ENSG00000173473,SMARCC1,Nucleus,CAB011576,http://images.proteinatlas.org/11576/32502_A_2_1.jpg,Stomach 2,nuclear,0,0,0,1,0
123,134,ENSG00000173473,SMARCC1,Nucleus,CAB011576,http://images.proteinatlas.org/11576/32502_A_3_1.jpg,Stomach 2,nuclear,0,0,0,1,0
124,135,ENSG00000173473,SMARCC1,Nucleus,CAB011576,http://images.proteinatlas.org/11576/32502_A_4_1.jpg,Stomach 1,nuclear,0,0,0,1,0
125,136,ENSG00000173473,SMARCC1,Nucleus,CAB011576,http://images.proteinatlas.org/11576/32502_A_5_1.jpg,Stomach 1,nuclear,0,0,0,1,0
126,137,ENSG00000173473,SMARCC1,Nucleus,CAB011576,http://images.proteinatlas.org/11576/32502_A_6_1.jpg,Stomach 1,nuclear,0,0,0,1,0
127,138,ENSG00000173473,SMARCC1,Nucleus,CAB011576,http://images.proteinatlas.org/11576/32502_A_7_2.jpg,Duodenum,nuclear,0,0,0,1,0
128,139,ENSG00000173473,SMARCC1,Nucleus,CAB011576,http://images.proteinatlas.org/11576/32502_A_8_2.jpg,Duodenum,nuclear,0,0,0,1,0
129,140,ENSG00000173473,SMARCC1,Nucleus,CAB011576,http://images.proteinatlas.org/11576/32502_A_9_2.jpg,Duodenum,nuclear,0,0,0,1,0
130,149,ENSG00000125944,HNRNPR,Nucleus,CAB011687,http://images.proteinatlas.org/11687/28343_A_1_1.jpg,Stomach 2,nuclear,0,0,0,1,0
131,150,ENSG00000125944,HNRNPR,Nucleus,CAB011687,http://images.proteinatlas.org/11687/28343_A_2_1.jpg,Stomach 2,nuclear,0,0,0,1,0
132,151,ENSG00000125944,HNRNPR,Nucleus,CAB011687,http://images.proteinatlas.org/11687/28343_A_3_1.jpg,Stomach 2,nuclear,0,0,0,1,0
133,152,ENSG00000125944,HNRNPR,Nucleus,CAB011687,http://images.proteinatlas.org/11687/28343_A_4_1.jpg,Stomach 1,nuclear,0,0,0,1,0
134,153,ENSG00000125944,HNRNPR,Nucleus,CAB011687,http://images.proteinatlas.org/11687/28343_A_5_1.jpg,Stomach 1,nuclear,0,0,0,1,0
135,154,ENSG00000125944,HNRNPR,Nucleus,CAB011687,http://images.proteinatlas.org/11687/28343_A_6_1.jpg,Stomach 1,nuclear,0,0,0,1,0
136,155,ENSG00000125944,HNRNPR,Nucleus,CAB011687,http://images.proteinatlas.org/11687/28343_A_7_2.jpg,Duodenum,nuclear,0,0,0,1,0
137,156,ENSG00000125944,HNRNPR,Nucleus,CAB011687,http://images.proteinatlas.org/11687/28343_A_8_2.jpg,Duodenum,nuclear,0,0,0,1,0
138,157,ENSG00000125944,HNRNPR,Nucleus,CAB011687,http://images.proteinatlas.org/11687/28343_A_9_2.jpg,Duodenum,nuclear,0,0,0,1,0
139,158,ENSG00000136527,TRA2B,Nucleus,CAB011692,http://images.proteinatlas.org/11692/30923_A_1_1.jpg,Stomach 2,nuclear,0,0,0,1,0
140,159,ENSG00000136527,TRA2B,Nucleus,CAB011692,http://images.proteinatlas.org/11692/30923_A_2_1.jpg,Stomach 2,nuclear,0,0,0,1,0
141,160,ENSG00000136527,TRA2B,Nucleus,CAB011692,http://images.proteinatlas.org/11692/30923_A_3_1.jpg,Stomach 2,nuclear,0,0,0,1,0
142,161,ENSG00000136527,TRA2B,Nucleus,CAB011692,http://images.proteinatlas.org/11692/30923_A_5_1.jpg,Stomach 1,nuclear,0,0,0,1,0
143,162,ENSG00000136527,TRA2B,Nucleus,CAB011692,http://images.proteinatlas.org/11692/30923_A_6_1.jpg,Stomach 1,nuclear,0,0,0,1,0
144,163,ENSG00000136527,TRA2B,Nucleus,CAB011692,http://images.proteinatlas.org/11692/30923_A_7_2.jpg,Duodenum,nuclear,0,0,0,1,0
145,164,ENSG00000136527,TRA2B,Nucleus,CAB011692,http://images.proteinatlas.org/11692/30923_A_8_2.jpg,Duodenum,nuclear,0,0,0,1,0
146,165,ENSG00000136527,TRA2B,Nucleus,CAB011692,http://images.proteinatlas.org/11692/30923_A_9_2.jpg,Duodenum,nuclear,0,0,0,1,0
147,215,ENSG00000136518,ACTL6A,Nucleus,CAB012188,http://images.proteinatlas.org/12188/32346_A_1_1.jpg,Stomach 2,"cytoplasmic/membranous,nuclear",0,0,0,1,0
148,216,ENSG00000136518,ACTL6A,Nucleus,CAB012188,http://images.proteinatlas.org/12188/32346_A_2_1.jpg,Stomach 2,"cytoplasmic/membranous,nuclear",0,0,0,1,0
149,217,ENSG00000136518,ACTL6A,Nucleus,CAB012188,http://images.proteinatlas.org/12188/32346_A_3_1.jpg,Stomach 2,"cytoplasmic/membranous,nuclear",0,0,0,1,0
150,218,ENSG00000136518,ACTL6A,Nucleus,CAB012188,http://images.proteinatlas.org/12188/32346_A_4_1.jpg,Stomach 1,"cytoplasmic/membranous,nuclear",0,0,0,1,0
151,219,ENSG00000136518,ACTL6A,Nucleus,CAB012188,http://images.proteinatlas.org/12188/32346_A_5_1.jpg,Stomach 1,"cytoplasmic/membranous,nuclear",0,0,0,1,0
152,220,ENSG00000136518,ACTL6A,Nucleus,CAB012188,http://images.proteinatlas.org/12188/32346_A_7_2.jpg,Duodenum,"cytoplasmic/membranous,nuclear",0,0,0,1,0
153,221,ENSG00000136518,ACTL6A,Nucleus,CAB012188,http://images.proteinatlas.org/12188/32346_A_8_2.jpg,Duodenum,"cytoplasmic/membranous,nuclear",0,0,0,1,0
